X,Y,OBJECTID,APPLICATION_NUMBER,STREET_NUMBER,STREET_NAME,POSTAL_CODE,APP_SUBMITTED_DATE,APP_STATUS,DECISION_DATE,APPEALED,THIRD_PARTY_APPEAL,APPEAL_TYPE,APPEAL_DATE,APPEAL_DECISION_DATE,SE_ANNO_CAD_DATA
562026.610931513,4795405.53118051,53,FL/A-23:193,939,6TH CON RD W FLAMBOROUGH,L0R 1V0,2023/07/17 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
586722.318638042,4785478.9001681,54,AN/A-23:194,143,WOODHOUSE ST  ANCASTER,L9K 0H3,2023/07/18 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
596130.209605717,4789196.29910652,55,HM/A-23:195,119,CAMPBELL AVE  HAMILTON,L8H 2G1,2023/07/19 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
599587.590585284,4791171.58826233,56,HM/A-23:196,105,BEACH BLVD  HAMILTON,L8H 6V8,2023/07/20 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
587880.78754783,4802918.47647469,57,FL/A-23:197,506,CONCESSION 6  E FLAMBOROUGH,L0R 1V0,2023/07/20 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
589453.245432302,4798957.0369499,58,FL/A-23:198,174,MILL ST N FLAMBOROUGH,L0R 2H0,2023/07/21 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
595064.077425637,4781259.06555958,59,GL/A-23:199,212,GLOVER RD  GLANBROOK,L0R 1P0,2023/07/24 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
588022.308460307,4778792.95275626,60,GL/A-23:200,9075,AIRPORT RD W GLANBROOK,L0R 1W0,2023/07/24 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
593066.858828309,4789676.96914261,61,HM/A-23:201,48,EMERALD ST N HAMILTON,L8L 5K3,2023/07/25 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
597851.547835241,4788117.65135197,62,HM/A-23:202,88,JULIAN AVE  HAMILTON,L8H 5R7,2023/07/26 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
590908.082701605,4787487.76710314,63,HM/A-23:203,40,WEST 1ST ST  HAMILTON,L9C 3C1,2023/07/27 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
589927.352522129,4786166.16286641,64,HM/A-23:204,66,ELKWOOD CRT  HAMILTON,L9C 2T6,2023/07/28 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
596369.813480946,4787864.27458396,65,HM/A-23:205,113,HUXLEY AVE S HAMILTON,L8K 2P9,2023/07/28 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
583392.279998344,4786495.38567276,66,AN/A-23:206,66,LODOR LANE  ANCASTER,L9G 2Y3,2023/07/28 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
587464.737008126,4777757.71835102,67,GL/A-23:208,205,THAMES WAY  GLANBROOK,L0R 1W0,2023/07/31 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
596656.504960515,4782692.16372559,68,SC/A-23:207,136,UPPER MOUNT ALBION RD  STONEY C,L8J 2V4,2023/07/31 04:00:00+00,Variance Granted,2023/08/01 04:00:00+00,No,,,,,
587042.171613306,4792524.72808084,69,DN/A-23:209,44,HOPKINS CRT  DUNDAS,L9H 5M5,2023/08/01 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
588056.232067073,4789651.28948966,70,HM/A-23:210,183,DALEWOOD AVE  HAMILTON,L8S 1Z5,2023/08/02 04:00:00+00,Variance Granted,2023/08/28 04:00:00+00,No,,,,,
591632.447035243,4789831.4035687,71,FL/A-23:212,1,PRATO VERDE LANE  FLAMBOROUGH,L0R 2K0,2023/08/03 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
591632.447035243,4789831.4035687,72,FL/A-23:213,13,PRATO VERDE LANE  FLAMBOROUGH,L0R 2K0,2023/08/03 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
591632.447035243,4789831.4035687,73,FL/A-23:214,17,PRATO VERDE LANE  FLAMBOROUGH,L0R 2K0,2023/08/03 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
593131.555219944,4788224.27919235,74,HM/A-23:211,542,CONCESSION ST  HAMILTON,L8V 1A9,2023/08/04 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
581398.893378073,4802369.67968415,75,FL/A-23:215,1366,HWY 6   FLAMBOROUGH,L8N 2Z7,2023/08/04 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
594225.485777779,4786833.9989606,76,HM/A-23:216,937,FENNELL AVE E HAMILTON,L8V 1W9,2023/08/08 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
